Jira.Project,Execution.Key,Test Cycle.Key,,Test Cycle.Name,Test Case.Key,Test Case.Name
EI,EI-E782,EI-R2,Gelo,Negative_Auth_Login,EI-T124,Authenticating with credentials with an empty or over-length email value is rejected
EI,EI-E783,EI-R2,Gelo,Negative_Auth_Login,EI-T123,Authenticating with credentials with password supplied as the wrong data type is rejected
EI,EI-E784,EI-R2,Gelo,Negative_Auth_Login,EI-T122,Authenticating with credentials without the required email field is rejected
EI,EI-E785,EI-R3,Gelo,Negative_Auth_Session,EI-T126,Logging out with malformed request parameters returns no server error
EI,EI-E786,EI-R3,Gelo,Negative_Auth_Session,EI-T125,Rotating the session with malformed request parameters returns no server error
EI,EI-E787,EI-R4,Gelo,Negative_Auth_Profile,EI-T127,Fetching the current user profile with malformed request parameters returns no server error
EI,EI-E788,EI-R5,Gelo,Negative_Auth_Password Reset,EI-T130,Requesting a password reset with an empty or over-length email value is rejected
EI,EI-E789,EI-R5,Gelo,Negative_Auth_Password Reset,EI-T129,Requesting a password reset with email supplied as the wrong data type is rejected
EI,EI-E790,EI-R5,Gelo,Negative_Auth_Password Reset,EI-T128,Requesting a password reset without the required email field is rejected
EI,EI-E791,EI-R6,Gelo,Negative_Teacher_Account,EI-T134,Adding a teacher profile picture with an empty file and with an oversized file is rejected
EI,EI-E792,EI-R6,Gelo,Negative_Teacher_Account,EI-T133,Adding a teacher profile picture with an unsupported file type is rejected
EI,EI-E793,EI-R6,Gelo,Negative_Teacher_Account,EI-T132,Adding a teacher profile picture with no file attached is rejected
EI,EI-E794,EI-R6,Gelo,Negative_Teacher_Account,EI-T145,Changing a teacher password with an empty or over-length new_password value is rejected
EI,EI-E795,EI-R6,Gelo,Negative_Teacher_Account,EI-T144,Changing a teacher password with new_password supplied as the wrong data type is rejected
EI,EI-E796,EI-R6,Gelo,Negative_Teacher_Account,EI-T143,Changing a teacher password without the required current_password field is rejected
EI,EI-E797,EI-R6,Gelo,Negative_Teacher_Account,EI-T138,Deleting a teacher profile picture with a malformed teacherId value is rejected
EI,EI-E798,EI-R6,Gelo,Negative_Teacher_Account,EI-T131,Searching for users with a malformed search value is rejected
EI,EI-E799,EI-R6,Gelo,Negative_Teacher_Account,EI-T137,Updating a teacher profile picture with an empty file and with an oversized file is rejected
EI,EI-E800,EI-R6,Gelo,Negative_Teacher_Account,EI-T136,Updating a teacher profile picture with an unsupported file type is rejected
EI,EI-E801,EI-R6,Gelo,Negative_Teacher_Account,EI-T135,Updating a teacher profile picture with no file attached is rejected
EI,EI-E802,EI-R6,Gelo,Negative_Teacher_Account,EI-T142,Updating teacher account information with a malformed teacher identifier is rejected
EI,EI-E803,EI-R6,Gelo,Negative_Teacher_Account,EI-T141,Updating teacher account information with an empty payload and with an oversized payload is rejected
EI,EI-E804,EI-R6,Gelo,Negative_Teacher_Account,EI-T140,Updating teacher account information with the email supplied as the wrong data type is rejected
EI,EI-E805,EI-R6,Gelo,Negative_Teacher_Account,EI-T139,Updating teacher account information without the required first_name is rejected
EI,EI-E806,EI-R7,Gelo,Negative_Teacher_Dashboard,EI-T148,Fetching assignment statistics with malformed request parameters returns no server error
EI,EI-E807,EI-R7,Gelo,Negative_Teacher_Dashboard,EI-T146,Fetching class statistics with malformed request parameters returns no server error
EI,EI-E808,EI-R7,Gelo,Negative_Teacher_Dashboard,EI-T147,Fetching student statistics with malformed request parameters returns no server error
EI,EI-E809,EI-R7,Gelo,Negative_Teacher_Dashboard,EI-T149,Fetching submission statistics with malformed request parameters returns no server error
EI,EI-E810,EI-R8,Gelo,Negative_Teacher_Classes,EI-T194,Accepting a student join request with a malformed student identifier is rejected
